Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status
135932447,Retrieve manager,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want to retrieve manager information so that i can know the personal details of a manager, no need to meet every manager to understand their personalities.",https://www.pivotaltracker.com/story/show/135932447,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/0bf335a6bc996e566c55ab05d8cc838a9ba52a64

[(Finishes)#135932575] [(Finishes)#135932509] [(Finishes)#135932447] [(Finishes)#135932371] (Wei Seong - Dec 12, 2016)",,Design retrieve manager interface,completed,Develop functionality of retrieve manager ,completed
135932509,Update manager,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want to edit manager information so that I can update the manager information.",https://www.pivotaltracker.com/story/show/135932509,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/0bf335a6bc996e566c55ab05d8cc838a9ba52a64

[(Finishes)#135932575] [(Finishes)#135932509] [(Finishes)#135932447] [(Finishes)#135932371] (Wei Seong - Dec 12, 2016)",,Design edit manager user interface,completed,Develop functionality of manager,completed,Functionality testing,completed
135932575,Delete manager,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want delete the manager information, so that i do not waste time on the manager information that not longer work in company.",https://www.pivotaltracker.com/story/show/135932575,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/0bf335a6bc996e566c55ab05d8cc838a9ba52a64

[(Finishes)#135932575] [(Finishes)#135932509] [(Finishes)#135932447] [(Finishes)#135932371] (Wei Seong - Dec 12, 2016)",,Design edit manager user interface,completed,Develop functionality of manager,completed,Functionality testing,completed
135932941,Create bus,bus module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want to add a new bus information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135932941,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/3a682d75fad4f5622e4ca2dd43bb4a681cd16050

[(Finishes)#135933041] [(Finishes)#135932941] [(Finishes)#135933239] [(Finishes)#135933169] (Wei Seong - Dec 12, 2016)",,Design bus module interface,completed,Develop the functionality of add bus,completed,Functionality testing,completed
135933041,Retrieve bus,bus module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want to retrieve bus information so that i can know the details of a bus.",https://www.pivotaltracker.com/story/show/135933041,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/3a682d75fad4f5622e4ca2dd43bb4a681cd16050

[(Finishes)#135933041] [(Finishes)#135932941] [(Finishes)#135933239] [(Finishes)#135933169] (Wei Seong - Dec 12, 2016)",,Design retrieve bus interface.,completed,Develop functionality of retrieve bus,completed
135933169,Update bus,bus module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want to edit bus information so that I can update the bus information.",https://www.pivotaltracker.com/story/show/135933169,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/3a682d75fad4f5622e4ca2dd43bb4a681cd16050

[(Finishes)#135933041] [(Finishes)#135932941] [(Finishes)#135933239] [(Finishes)#135933169] (Wei Seong - Dec 12, 2016)",,Design edit bus user interface,completed,Develop functionality of  bus,completed,Functionality testing,completed
135933239,Delete bus,bus module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Quah Cheun Wei,"As a bus company admin, I want delete the bus information, so that i do not waste time on the bus information that not longer work in company.",https://www.pivotaltracker.com/story/show/135933239,,,Quah Cheun Wei,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/3a682d75fad4f5622e4ca2dd43bb4a681cd16050

[(Finishes)#135933041] [(Finishes)#135932941] [(Finishes)#135933239] [(Finishes)#135933169] (Wei Seong - Dec 12, 2016)",,Design edit bus user interface,completed,Develop functionality of  bus,completed,Functionality testing,completed
135931929,Create Driver,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Wei Seong,"As a bus company admin, I want to add a new driver information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135931929,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/1464d078149792c3c9de1610c9777e2a81e0705a

[(Finishes)#135932271] [(Finishes)#135932177] [(Finishes)#135932007] [(Finishes)#135931929] (Wei Seong - Dec 12, 2016)",,Design driver module interface,completed,Develop the functionality of add driver,completed,Functionality Testing,completed
135932007,Retrieve Driver,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Wei Seong,"As a bus company admin, I want to retrieve driver information so that i can know the personal details of a driver, no need to meet every driver to understand their personalities.",https://www.pivotaltracker.com/story/show/135932007,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/1464d078149792c3c9de1610c9777e2a81e0705a

[(Finishes)#135932271] [(Finishes)#135932177] [(Finishes)#135932007] [(Finishes)#135931929] (Wei Seong - Dec 12, 2016)",,Design retrieve driver interface.,completed,Develop functionality of retrieve driver,completed,Functionality Testing,completed
135932177,Update Driver,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Wei Seong,"As a bus company admin, I want to edit driver information so that I can update the driver information.",https://www.pivotaltracker.com/story/show/135932177,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/1464d078149792c3c9de1610c9777e2a81e0705a

[(Finishes)#135932271] [(Finishes)#135932177] [(Finishes)#135932007] [(Finishes)#135931929] (Wei Seong - Dec 12, 2016)",,Design edit driver user interface,completed,Develop functionality of driver,completed,Functionality testing.,completed
135932271,Delete Driver,admin maintenance module,1,"Dec 26, 2016","Jan 1, 2017",feature,1,finished,"Dec 12, 2016",,,Wei Seong,"As a bus company admin, I want delete the driver information, so that i do not waste time on the driver information that not longer work in company.",https://www.pivotaltracker.com/story/show/135932271,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/1464d078149792c3c9de1610c9777e2a81e0705a

[(Finishes)#135932271] [(Finishes)#135932177] [(Finishes)#135932007] [(Finishes)#135931929] (Wei Seong - Dec 12, 2016)",,Design delete driver user interface.,completed,Develop functionality of driver,completed,Functionality testing ,completed
135932467,Generate Transaction Report,report module,1,"Dec 26, 2016","Jan 1, 2017",feature,3,finished,"Dec 12, 2016",,,Wei Seong,"As an admin, I want to generate exception report so that the company can check the sales of each route.",https://www.pivotaltracker.com/story/show/135932467,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/589025bba71ee006f67747f5296c46e890897b31

[(Finishes)#135932467] (Wei Seong - Dec 12, 2016)",,"Design user interface
",completed,Code functionalities,completed,"Implement input validation
",completed
135932339,Generate Exception Report,report module,1,"Dec 26, 2016","Jan 1, 2017",feature,3,finished,"Dec 12, 2016",,,Wei Seong,"As an admin, I want to generate exception report so that the company can check the report such as monthly top sales, top 10 route.",https://www.pivotaltracker.com/story/show/135932339,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/b6e644663684b33400aec844a30e86dc473ebd01

[(Finishes)#135932339] (Wei Seong - Dec 12, 2016)","Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/e5471a08f42e43c8675d857adddcbc0869d47c39

[(Finishes)#135932339] (Wei Seong - Dec 12, 2016)",Design user interface,completed,Code functionalities,completed,Implement input validation,completed
135932523,Generate Summary Report,report module,1,"Dec 26, 2016","Jan 1, 2017",feature,3,finished,"Dec 12, 2016",,,Wei Seong,"As an admin, I want to generate exception report so that the company can check the daily or monthly report.",https://www.pivotaltracker.com/story/show/135932523,,,Wei Seong,"Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/737282be7cde109ba11d526a3c883866dec7822e

[(Finishes)#135932523] (Wei Seong - Dec 12, 2016)","Commit by wsongtiang
https://github.com/wsongtiang/Process/commit/9beffa2975903bca3fe01cf644474bada87f975c

[(Finishes)#135932523] (Wei Seong - Dec 12, 2016)","Design user interface
",completed,"Code functionalities
",completed,"Implement input validation
",completed
